subject,session,algorithm,truth,prediction,epoch_length
1,1,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","15,12,10,10,15,12,10,9,15,12,10,9,9,9,10,10,9,12,10,9",7
1,2,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","9,12,10,9,15,12,10,9,15,9,10,9,15,12,10,9,15,12,10,9",7
2,1,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","15,12,10,12,15,10,10,10,9,10,10,9,12,9,9,9,10,12,10,9",7
2,2,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","15,10,10,10,15,10,10,9,10,10,10,10,10,10,9,9,12,10,10,9",7
1,1,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","12,9,10,10,10,10,10,10,10,12,10,10,10,12,10,9,10,10,10,9",1
1,2,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","12,12,10,9,10,9,10,9,15,12,9,15,9,10,10,10,15,10,10,9",1
2,1,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","15,12,10,15,12,15,10,9,10,10,10,12,12,12,10,10,15,15,10,10",1
2,2,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","10,10,10,9,10,10,12,10,10,10,9,10,10,12,15,10,10,12,10,15",1
1,1,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","15,12,10,10,10,12,9,9,12,12,10,9,9,9,12,10,9,15,10,10",3
1,2,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","15,12,10,10,9,12,10,9,15,10,10,9,12,12,10,10,9,10,10,9",3
2,1,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","9,10,10,12,12,12,10,12,10,10,10,10,12,12,10,9,12,10,10,9",3
2,2,PSDA,"15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9,15,12,10,9","10,10,12,12,12,12,12,15,10,12,9,10,10,10,9,9,12,10,12,12",3
